symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-12-25,446915,OTHER,False,activity_volume,3.3827755969512587,0.4001646854574497,10.990549235536047,0.06306756520582005,0.1643037975987739,287,True,17,False,0.9456172534243564
BTCUSDT,2020-12-25,446915,OTHER,False,activity_ntrades,4.634728988229636,0.42810529475567227,10.18063317447576,0.06808487926838971,0.18703719738176994,287,True,8,False,0.8149447409604379
BTCUSDT,2020-12-25,446915,OTHER,False,realized_vol,2.4612767881866424,0.22089951579487851,18.120568326284495,0.038251955903309716,0.048820542332199124,287,True,19,False,0.23942854963849378
BTCUSDT,2020-12-26,446948,OTHER,False,activity_volume,3.740843041634326,0.707129732211719,4.158493597867715,0.16668227670600705,0.500197637842802,287,True,3,False,1.2859659693362335
BTCUSDT,2020-12-26,446948,OTHER,False,activity_ntrades,4.897839799950911,0.8076531883877262,2.563470418748583,0.27039406247501035,0.6526142785516496,287,True,7,False,1.123227519709981
BTCUSDT,2020-12-26,446948,OTHER,False,realized_vol,2.592866704981591,0.6897041925029962,4.4579097579496825,0.15548703724293045,0.4721283222990712,287,True,9,False,0.7313510214070974
BTCUSDT,2020-12-27,446972,OTHER,False,activity_volume,4.503694812017724,0.6470414591314209,5.224138890068863,0.13268161416566174,0.41286108205327077,287,True,5,False,0.7726510784854409
BTCUSDT,2020-12-27,446972,OTHER,False,activity_ntrades,5.600270389939038,0.6005527318590674,6.118857936760675,0.1132804826854499,0.36095688577802687,287,True,19,False,0.48090653932221056
BTCUSDT,2020-12-27,446972,OTHER,False,realized_vol,3.0772315397539067,0.23476940530879015,17.389818007056075,0.03985936944703473,0.05521411286282363,287,True,6,False,0.33339953992077714
BTCUSDT,2020-12-30,447032,OTHER,False,activity_volume,3.9683519774190232,0.3790714943460285,11.640365427053526,0.05954685743361569,0.14764320494106353,287,True,24.0,True,0.44471831232803344
BTCUSDT,2020-12-30,447032,OTHER,False,activity_ntrades,5.184553291732019,0.39765035753883765,11.066185901399008,0.06263650247121877,0.16391629137938468,287,True,13,False,0.3387034130316427
BTCUSDT,2020-12-30,447032,OTHER,False,realized_vol,2.8450815620511607,0.16890523132563798,21.34100979277548,0.03247958682792015,0.028925102554151816,287,True,7,False,0.1984684429978528
